Starting Mouse Recording
20220228T1148275982--{X=1283,Y=412}--None--M
20220228T1148276092--{X=1283,Y=412}--None--M
20220228T1148276201--{X=1283,Y=412}--None--M
20220228T1148276301--{X=1283,Y=412}--None--M
20220228T1148276409--{X=1283,Y=412}--None--M
20220228T1148276519--{X=1283,Y=412}--None--M
20220228T1148276629--{X=1283,Y=412}--None--M
20220228T1148276738--{X=1283,Y=412}--None--M
20220228T1148276850--{X=1283,Y=412}--None--M
20220228T1148276959--{X=1283,Y=412}--None--M
20220228T1148277069--{X=1283,Y=412}--None--M
20220228T1148277179--{X=1283,Y=412}--None--M
20220228T1148277289--{X=1283,Y=412}--None--M
20220228T1148277398--{X=1283,Y=412}--None--M
20220228T1148277498--{X=1283,Y=412}--None--M
20220228T1148277608--{X=1283,Y=412}--None--M
20220228T1148277717--{X=1283,Y=412}--None--M
20220228T1148277827--{X=1283,Y=412}--None--M
20220228T1148277927--{X=1283,Y=412}--None--M
20220228T1148278037--{X=1283,Y=412}--None--M
20220228T1148278146--{X=1283,Y=412}--None--M
20220228T1148278256--{X=1283,Y=412}--None--M
20220228T1148278357--{X=1283,Y=412}--None--M
20220228T1148278457--{X=1283,Y=412}--None--M
20220228T1148278567--{X=1283,Y=412}--None--M
20220228T1148278677--{X=1283,Y=412}--None--M
20220228T1148278786--{X=1283,Y=412}--None--M
20220228T1148278896--{X=1283,Y=412}--None--M
20220228T1148279006--{X=1283,Y=412}--None--M
20220228T1148279106--{X=1283,Y=412}--None--M
20220228T1148279215--{X=1283,Y=412}--None--M
20220228T1148279325--{X=1283,Y=412}--None--M
20220228T1148279435--{X=1283,Y=412}--None--M
20220228T1148279544--{X=1283,Y=412}--None--M
20220228T1148279654--{X=1283,Y=412}--None--M
20220228T1148279756--{X=1283,Y=412}--None--M
20220228T1148279861--{X=1283,Y=412}--None--M
20220228T1148279962--{X=1283,Y=412}--None--M
20220228T1148280072--{X=1283,Y=412}--None--M
20220228T1148280178--{X=1283,Y=412}--None--M
20220228T1148280288--{X=1283,Y=412}--None--M
20220228T1148280398--{X=1283,Y=412}--None--M
20220228T1148280507--{X=1283,Y=412}--None--M
20220228T1148280617--{X=1283,Y=412}--None--M
20220228T1148280717--{X=1283,Y=412}--None--M
20220228T1148280826--{X=1283,Y=412}--None--M
20220228T1148280936--{X=1283,Y=412}--None--M
20220228T1148281036--{X=1283,Y=412}--None--M
20220228T1148281146--{X=1283,Y=412}--None--M
20220228T1148281255--{X=1283,Y=412}--None--M
20220228T1148281365--{X=1283,Y=412}--None--M
20220228T1148281465--{X=1283,Y=412}--None--M
20220228T1148281575--{X=1283,Y=412}--None--M
20220228T1148281684--{X=1283,Y=412}--None--M
20220228T1148281794--{X=1283,Y=412}--None--M
20220228T1148281894--{X=1283,Y=412}--None--M
20220228T1148282003--{X=1283,Y=412}--None--M
20220228T1148282113--{X=1283,Y=412}--None--M
20220228T1148282223--{X=1283,Y=412}--None--M
20220228T1148282324--{X=1283,Y=412}--None--M
20220228T1148282433--{X=1283,Y=412}--None--M
20220228T1148282543--{X=1283,Y=412}--None--M
20220228T1148282653--{X=1283,Y=412}--None--M
20220228T1148282762--{X=1283,Y=412}--None--M
20220228T1148282862--{X=1283,Y=412}--None--M
20220228T1148282972--{X=1283,Y=412}--None--M
20220228T1148283082--{X=1283,Y=412}--None--M
20220228T1148283191--{X=1283,Y=412}--None--M
20220228T1148283295--{X=1283,Y=412}--None--M
20220228T1148283404--{X=1283,Y=412}--None--M
20220228T1148283505--{X=1283,Y=412}--None--M
20220228T1148283614--{X=1283,Y=412}--None--M
20220228T1148283724--{X=1283,Y=412}--None--M
20220228T1148283834--{X=1283,Y=412}--None--M
20220228T1148283943--{X=1283,Y=412}--None--M
20220228T1148284054--{X=1283,Y=412}--None--M
20220228T1148284159--{X=1283,Y=412}--None--M
